,sentence,label
0,중국 사람들 알바들 쫙 깔렸네 ㅋㅋ 뒤쪽 보면 똑같은 글도 비해서 평점 준 사람들도 ㅋ,2
1, 오늘은 화요일이네요!!,0
2,초보운전자에게 좋겠네요…. 다른 길로 들어섰다가 욕먹는 경우 많은데….,0
3,박근혜도 물러나고 여야 국회 쓰레기들도 이 기회에 해산시켜라!,2
4,"아, 응. 잘 다녀와.",3
5,피똥 싸겠네 ?,2
6,너야말로 무슨 소리 하는 거냐! 잘 알지도 못하는 주제에 다른 사람을 없애려고? 하여튼 이래서 요즘 젊은것들은! 좀 더 다른 사람을 이해해 봐!,2
7,처음으로…?,3
8,내가 남들 앞에서 떨고 그러는 사람 아닌데. 결혼이 처음 하는 것도 아니고.,1
9, 오늘은 화요일이네요!!,1
10,신이 정말 개의시키라는 생각밖에 사람한테 장난치지 말아라,2
11,미국인아 미국으로 꺼지세요,2
12,  그랑프리 최종 우승보다  연아선수 자신이  불안했던 자신을 이겨냈다는것이  더 훌륭한 것입니다.,1
13,아이~ 맨날 죽겠다는 지옥 같은 한국 국민들 맞음??? ㅋㅋㅋ,3
14,저희는 맞벌이하는 것도 아닌데도 말이죠….,3
15, 똑같은 년 놈들아!,2
16,으응?,1
17,카 박영선 몰랐는데 존나 대단하네,3
18,한심하고 파렴치하고 무능력한 전라도 남편이 한 달에 겨우 500만 원 밖에 못 벌어 오는데 이혼해야 하나요??,2
19,재밌네요 하하 꽃 놓고 가요~~,0
20,해체 나이스,0
21,  그랑프리 최종 우승보다  연아선수 자신이  불안했던 자신을 이겨냈다는것이  더 훌륭한 것입니다.,0
22,오늘 마라톤 대회가 있어서 저 길로는 못 가요.,3
23,해체 나이스,1
24,와 질기다 아직도 자퇴 안 하고 버티네! ㅎㄷㄷㄷ,3
25,세상에 주영이 군대 보내고 벌써 일 년 반이 지났다니….,3
26,나라의 헌법을 무시하는 민주노총.,2
27,두고두고 팬으로 행동하게…….,0
28,두고두고 팬으로 행동하게…….,1
29,감사해요^^,0
30,으응?,0
31,수업.,3
32,연한 파랑 하늘색이 아니라. 크크크 제기랄 ㅋㅋㅋ,1
33,내가 남들 앞에서 떨고 그러는 사람 아닌데. 결혼이 처음 하는 것도 아니고.,0
34,감사해요^^,1
35,항상?? 할때마다??,3
36,정말 소름이 끼쳐서 끝까지 보기가 어려웠습니다. 소름 끼치게 소리만 질러대니….,2
37,연한 파랑 하늘색이 아니라. 크크크 제기랄 ㅋㅋㅋ,0
38,재밌네요 하하 꽃 놓고 가요~~,1
39,초보운전자에게 좋겠네요…. 다른 길로 들어섰다가 욕먹는 경우 많은데….,1
